funding_total_usd,count
5440000,1
54331585,1
54302,1
54300000,1
5425020,1
5422959,1
5410000,1
5407657,1
540315,1
5400450,1
54000000,2
5400000,3
540000,1
53999998,1
5394111,1
539007,1
539000,1
53730000,1
53615099,1
5358914,1
5350000,1
53300000,1
53209289,1
5310250,1
53098.78553,1
5300001,1
53000000,1
5300000,3
530000,1
53000,1
52900000,1
5279980,1
52750600,1
5265646,1
5250000,2
525000,3
52448530,1
52422326,1
52120000,1
520833,1
52000000,1
5200000,4
5193705,1
5184434,1
5180000,1
5175000,1
51745818,1
5170000,1
515252,1
515000,1
5147,1
51311845,1
51275260,1
51200000,1
51050000,1
510000000,1
5100000,4
5099000,1
50958896.61,1
5088130,1
50880053,1
50800000,1
5075000,1
5073408,1
50700000,2
5070000,1
505200,1
50500000,2
505000,1
5045650.011,1
503757,1
50310333,1
502860000,1
5025000,1
501958,1
50100000,1
5007614,1
500000000,2
50000000,6
5000000,43
500000,63
50000,36
5000,4
500,1
499367,1
497994,1
4979639,1
49761910,1
4970000,1
49656999,1
49500000,1
49167,1
49024004,1
49000000,3
4900000,3
490000,1
4895573,1
48600000,1
486000,1
485841.2451,1
48581364,1
48500000,1
483410,1
4826548.16,1
4812000000,1
48035000,1
48000000,3
4800000,2
480000,3
47952301,1
47697751,1
47628901,1
47570,1
47500000,1
4750000,4
475000,3
47499994,1
47409,1
474063,1
47200000,1
4710960,1
470945,1
4700000,4
470000,3
47000,1
46999996,1
46988259,1
46953358,1
469008,1
46900000,1
46850000,1
468489,1
46800000,1
467289,1
4667517,1
4662037,1
4650000,2
46420307,1
4640000,1
46341484,1
462166.195,1
4612885,1
4608000,1
460488000,1
4600000,2
460000,1
45801164,1
45791999,1
4576452.809,1
4566267,1
45610000,1
45550000,1
4545754,2
45400000,1
45319939,1
45290624,1
45282384,1
4527125,1
4525000,1
4520763,1
45154980,1
45000000,5
4500000,20
450000,7
45000,5
4499999,1
449775,1
4494680,1
4486000,1
4475000,1
44741834,1
44700000,1
4469794,1
4450000,2
444000,1
4439407,1
44300000,1
443000,2
442943,1
44271141,1
44250000,1
442457,1
441000,1
44074955,1
4400000,3
440000,3
43990999,1
439603,1
43901134,1
43898233,1
43873143,1
43772394,1
43600000,1
4360000,1
4356452,1
435400,1
43500000,2
435000,1
4349999,1
4345427,1
4313980,1
43138,1
4309987,1
430548,1
43000000,2
430000,1
43000,1
4299327,1
42980577,1
4277507,1
4275852,1
427119,1
4270000,1
4269000,1
4260000,1
425975,1
425000,3
4249998,1
424999,1
4242704,1
4238225,1
4225000,1
422000000,1
42200000,2
42183,1
4211031,1
420727,1
42000000,3
4200000,3
420000,1
42000,1
41997183,1
4195000,1
417040423,1
4160012,1
4151470,1
4148278,1
41431808,1
413177,1
4130904,1
413000,1
412000000,1
41000016,1
41000000,1
4100000,2
410000,1
4099999,1
4094392,1
4088548,1
40800000,2
4076321,1
40753400,1
40664199,1
40663845,1
4061906,1
40500000,1
4045500,1
40420000,1
40400000,1
4035000,1
40269828,1
4020000,1
4015000,1
401500,1
401499480,1
400988,1
4003472,1
400000000,1
40000000,11
4000000,28
400000,21
40000,51
3999999,1
39950000,1
3987693,1
39868500,1
3986362,1
3978000,1
39700000,1
39664050,1
396497,1
39610000,1
396000000,1
395000,1
3947600,1
39400000,2
3938578,1
393669,1
39355.5141,1
393000,1
39279460,1
3920000,1
3915350,1
3914505,1
3911759,1
3911643,1
391000,1
39079461,1
3907466,1
39000000,1
3900000,4
390000,2
389590,1
38930000,1
38809918,1
38805883,1
38800000,1
3878283,1
386483,1
3856398,1
3853000,1
384410000,1
384000,1
383290,1
383006,1
383000,1
382106890,1
38200000,1
3808000,1
38064570,1
3800000,5
380000,3
378812,1
3780000,1
37770000,1
377054.9495,1
3770000,2
37673932,1
37644420,1
37639,1
3759300,1
37500000,1
3750000,2
375000,7
37500,1
3742188,1
374000,1
37397237,1
3730000,1
372568,1
37200000,2
3715133,1
3715000,1
37143865,1
37079200,1
3705137,1
370356,1
37000000,3
3700000,4
3698550,1
36958609,1
36902500,1
368803,1
368750,1
3685000,1
36824722,1
36802,1
3675000,1
36730397,1
3672448,1
36618955,1
36519878,1
365000,2
364742,1
364500000,1
3638201,1
3635000,1
36349780,1
3606836,1
36043700,1
36000000,1
3600000,1
360000,4
359742,1
35869729,1
35860000,1
358443,1
358000,1
3578158,1
357641,1
35750000,1
3572446,1
35668990,1
35513893,1
3550002,1
35500000,1
3550000,2
355000,3
35419873,1
3535000,1
35250000,1
35224880.37,1
3515401,1
3508711,1
35000000,7
3500000,18
350000,14
35000,7
34999999,1
349843,1
3496554,1
3494416,1
34898793,1
3488033,1
3486023,1
34860000,1
3482300,1
34800000,1
3475204,1
3462380,1
34623,1
3460000,1
3455250,1
3455150,1
3455000,1
34500000,2
3450000,1
34400000,1
34330,1
343000,1
3428750,1
3425000,2
34200000,1
3416215,1
3409315,1
3409172,1
34075000,1
34072000,1
34060000,1
340000000,1
34000000,1
3400000,3
340000,1
33961728,1
3393925,1
3387542,1
3378975,1
336521944.3,1
33649083,1
33600000,1
3360000,1
3356695,1
335377366,1
335068,1
33500000,3
3350000,1
335000,1
33458625,1
33457,1
3343000,1
3341928,1
333989,1
33333,1
33331814,1
333200000,1
33213808,1
33200000,1
33150000,1
3315000,1
3313907,1
3310000,1
331000,1
3301958,1
33000000,3
3300000,6
330000,3
3300,1
329695,1
329500,1
32936998,1
329122,1
32806,1
328000,2
3274546,1
327260,1
326702,1
32600000,2
325999,1
3255325,1
3255000,1
32521,1
32510000,1
3250000,1
325000,3
32495730,1
322734,1
3216500,1
321184551,1
32090,1
3204600,1
320288000,1
3201,1
320000000,1
32000000,4
3200000,6
320000,2
31960000,1
318627,1
3180000,1
3174603,1
317300000,1
31711985,1
3170201,1
31634312,1
3160000,1
31591693,1
31500000,3
315000,1
31400000,2
314000,1
31322.81384,1
31300000,1
3124082,1
3118000,1
3113168,1
31125201,1
3109450,1
3108469,1
3107198,1
31040000,1
31000000,2
3100000,5
310000,1
30900000,1
307954,1
3075000,1
3073977,1
30693206,1
3067000,1
3065510,1
30564744,1
30550000,1
3054000,1
30500000,1
3050000,1
30455361,1
30426151,1
3040733,1
30400002,1
30350000,1
3033472,1
3030502,1
3025000,1
30240000,1
30200000,1
3020000,1
3019139,1
3007428.348,1
300000000,1
30000000,23
3000000,49
300000,28
30000,14
3000,1
2999999,2
29821889,1
29769365,1
297549,1
29750000,1
2973600,1
297000,1
296487,1
29638309,1
29575000,1
29567009,1
29500000,1
2950000,1
29449981,1
2942768.889,1
2940000,1
29300000,1
29264085,1
292486,1
291841,1
2916745,1
2900150,1
29000000,2
2900000,5
29000,1
28952603,1
28917736.26,1
2890000,1
288171856,1
288000,1
2879987,1
28787632,1
2877820,1
2876384,1
28612936,1
28600000,1
2860000,1
28500000,3
2842048,1
28364818,1
283500,1
282355,1
28200000,1
28192646,1
28100000,2
2810000,1
281000,1
2807000,1
2805667,1
28040440,1
28000000,7
2800000,5
280000,4
28000,4
27890167,1
278485,1
2784223,1
2783000,1
278088,1
27804097,1
27800000,1
277967.0213,1
27750000,1
2775000,1
277500,1
276744.1287,1
2763899,1
276108581,1
27600000,1
27550000,1
27517913,1
27500000,2
2750000,3
275000,5
27478,1
273186,1
27300000,2
2730000,1
2729000,1
2727683,1
27250000,1
2725000,1
27200000,2
27100000,1
270862,1
27000000,5
2700000,3
270000,1
27000,1
26980000,1
26977411,1
269344,1
269260,1
26914000,1
269133,1
26898770,1
26800000,1
26797834,1
2678886,1
267827392,1
267689,1
26733013,1
2670394,1
2670000,1
266000000,1
26600000,2
2660000,1
265509,1
26517500,1
265064,2
26500000,2
265000,1
264993,1
2649402,1
264102,1
26400000,2
263835.8062,1
263500,1
262927.2568,1
26250000,1
26239014.37,1
2623007,1
26226850,1
2620018,1
2619242,1
2608779,1
26040000,1
2601885,1
26000000,3
2600000,3
260000,1
