category_list,count
"Cloud Computing|Communications Hardware|Contact Centers|Customer Service|Internet|Software|VoIP|Web Development",1
"Babies|Big Data Analytics|E-Commerce|Fashion|Kids",1
"Customer Service|Sales and Marketing|Software|Telephony",1
"3D|3D Technology|Events",1
"3D Technology|Sensors",1
Photography|Video,1
"3D Printing|Collaborative Consumption|Local|Marketplaces",1
"3D|Curated Web|Manufacturing|Search|Supply Chain Management|Visualization",1
"3D Printing|Health and Wellness|Health Care",1
"3D|3D Technology|E-Commerce|Internet|Online Shopping",1
Drones|Manufacturing,1
3D|Medical|Physicians,1
"3D Printing|Manufacturing",1
"3D|Computer Vision|Kinect|Robotics|Software",1
"3D Printing|3D Technology|Printing",1
Printing,1
3D|Mobile,1
"Finance|Software|Venture Capital",1
"Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel",1
"Android|B2B|Brand Marketing|iPhone|Mobile|Music|Video Streaming",1
Messaging|SMS,1
"iOS|Location Based Services|Mobile|Online Dating|Social Media",1
"Cloud Data Services|Services|Software",1
Consulting|Software,1
"Developer APIs|Enterprise Software|Infrastructure|Services|Software",1
"App Marketing|Software",1
"Coupons|Online Shopping|Payments|Retail Technology",1
"Flash Storage|Security",1
"Machine Learning|Network Security",1
"Crowdfunding|Entrepreneur|Finance|FinTech|Networking|Peer-to-Peer|Social Media|Venture Capital",1
"Commercial Real Estate|Real Estate",1
"Creative|Creative Industries|Databases",1
Internet|Telecommunications,1
"Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless",1
"Ad Targeting|Big Data Analytics|Mobile Advertising",1
"Cloud Computing|Messaging|Telephony|Unifed Communications",1
Apps|Education|Kids|Religion,1
"Real Estate|Retail|Service Providers",1
"Consumer Electronics|Mobile Devices",1
"E-Commerce|Enterprise Software|Loyalty Programs|Social Media",1
"Apps|Internet|Photography|Promotional|Sales and Marketing",1
"Art|Creative|Creative Industries",1
"Curated Web|Internet|Software",1
"Mobile|Software|Web Design|Web Development",1
"Music|Ticketing|Web Development",1
Education|Games|Video,1
"Art|Curated Web|Photography|Social Media",1
"Advertising|Digital Media|Distribution|Social Media",1
"Games|Mobile|Mobile Games|Online Gaming",1
"Accounting|Business Development|Finance|Software|Web Development",1
"Browser Extensions|Curated Web|Social Media",1
"Information Services|Information Technology|Internet Marketing|SEO",1
"Concentrated Solar Power|Manufacturing|Solar",1
"B2B|Predictive Analytics|Sales and Marketing",1
"Health and Wellness|Specialty Foods",1
Bicycles|Communities,1
"Analytics|Network Security|Shipping|Small and Medium Businesses|Startups",1
"Analytics|Health and Wellness|Predictive Analytics",1
"Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software",1
"Content Creators|Content Delivery|Licensing|Music|Music Services|Technology",1
"Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS",1
"Brand Marketing|Communities|Consulting|Semantic Search|SEO",1
"Design|Internet|Shared Services",1
"Digital Entertainment|Entertainment|Sports",1
"Advertising|Content Discovery",1
Exercise|Fitness|Tracking,1
"Contact Centers|Telecommunications|Unifed Communications|Video Conferencing",1
Media|News|Publishing|Soccer|Sports,1
"Apps|Consumer Electronics|Mobile|Social Media|Television|Weddings",1
Mobile|Publishing,1
E-Commerce|Payments,1
"Crowdsourcing|Design|Marketplaces|Online Shopping",1
"E-Commerce|Trading|Video Games",1
"Apps|Logistics|Postal and Courier Services",1
"Android|iOS|Mobile|Mobile Payments|SaaS|Taxis",1
"Business Analytics|Enterprise Software|SaaS|Software",1
Software|Technology,1
"Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training",1
"Digital Media|News|Social Media",1
Chemicals,1
Limousines,1
"Media|News|Photo Sharing|Video",1
"Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software",1
"Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting",1
"Batteries|Clean Technology|Energy Storage|Mobile",1
"Music|Social Network Media",1
Consulting|Recruiting,1
"Human Resources",1
"Advertising|Advertising Platforms|Optimization|Software",1
"Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software",1
"Automotive|Clean Technology|Energy|Technology",1
E-Commerce|Fashion|Women,1
"Apps|Social Network Media",1
"Biotechnology|Health and Wellness|Medical|Venture Capital",1
"Communications Infrastructure|Data Visualization|Software",1
Biotechnology|Events,1
"B2B|Marketplaces|Services|Social Media",1
"Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development",1
"Curated Web|Privacy",1
Biotechnology|Robotics|Technology,1
Biotechnology|Medical|Nanotechnology,1
"Cloud Computing|Cloud Infrastructure|Cloud Management|M2M|Open Source|Software|Virtualization|Web Hosting",1
"Accounting|Consulting|CRM|Marketing Automation|Project Management",1
"Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses",1
Local|Services|Translation,1
"Big Data|Cloud Computing|Infrastructure|Mobile|Wireless",1
"Home Automation|Home Owners|Security",1
"Real Estate|Search",1
Design|Manufacturing|Semiconductors,1
"Big Data|Consumers|Personal Finance|Retirement",1
"Curated Web|Identity|Identity Management",1
"Contact Management|Curated Web|Events",1
"Information Security|Security",1
"Content Discovery|Hospitality|Restaurants|Social Media Platforms",1
"Advertising|Digital Media|Education|Media|News|Publishing",1
"Clean Technology|Energy|Oil",1
"Crowdsourcing|Curated Web|Sports",1
"Engineering Firms|Environmental Innovation|Technology",1
E-Commerce|Fashion|Lifestyle,1
"B2B|Internet Service Providers|Security|Software",1
Apps|Gamification|iOS|Mobile,1
"Business Services|Intellectual Asset Management|Licensing",1
"Bitcoin|Cloud Computing|Trading",1
"Curated Web|EdTech|Education|Information Technology|Language Learning",1
"Advertising|Education|Lead Generation|Portals",1
EdTech|Education|Entrepreneur|Technology,1
"Audio|Entertainment|Music|Social Media|Social Media Platforms",1
"Energy|Mining Technologies",1
"Business Services|Enterprises|Mobile|Networking|Telecommunications",1
"Hardware + Software|Television",1
"Big Data|Databases|Information Technology",1
"Health Care|Health Diagnostics|Medical Devices",1
"Enterprise Software|Security",1
"Logistics|Software|Storage|Supply Chain Management|Transportation",1
"Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization",1
Domains|Internet|Ticketing,1
"Curated Web|Internet|Legal|Semantic Search|SEO",1
"Credit Cards|Fraud Detection|Security",1
"Cloud Computing|Data Centers|Networking|Services|Software|Web Hosting",1
"Advertising|Brand Marketing|Design|Web Design|Web Development",1
"Advertising|Distribution|Mobile|Sales and Marketing|Social Media",1
"Financial Services|Nonprofits|Social Fundraising",1
"Aerospace|Manufacturing|New Product Development",1
Advertising|Internet|Services,1
"Homeland Security|Security|Tracking",1
"Analytics|Career Management|Recruiting|Social Recruiting",1
"Development Platforms|Health Care|Software",1
"Health and Wellness|Health Care|Healthcare Services",1
"3D|Social Media|Technology",1
"B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS",1
"Cloud Computing|SaaS",1
"Credit|Finance|Financial Services|Personal Finance",1
Construction,1
"Mobile|Mobile Payments|Mobile Security|Security",1
Content|Events|Security|Software|Training,1
"Internet Radio Market",1
Mobile|Networking|Telecommunications,1
"Legal|Outsourcing|Recruiting|Service Providers",1
"Consumer Goods|Content Delivery|Logistics",1
"Health and Wellness|Health Care|Health Care Information Technology|mHealth|Predictive Analytics",1
Finance|FinTech|Marketplaces|Nonprofits,1
"Education|Mobile Commerce|Technical Continuing Education",1
"Education|Online Education|Services",1
"Consumer Electronics|Hardware + Software",1
"Health Care|Physicians|Software",1
"E-Commerce|Gift Card|Home & Garden|Kids|Lifestyle|Retail|Travel",1
"Finance Technology",1
"Career Management|Education|Human Resources",1
"Employer Benefits Programs|Incentives|Services|Software",1
"Curated Web|Games|Gamification|Media|Social Media",1
"Social Media|Storage|Video Streaming|Web Hosting",1
"Internet of Things|Security|Software|Wireless",1
"Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS",1
Agriculture|Analytics|Coffee,1
Apps|Finance|FinTech|Mobile|Technology,1
"Content|Enterprise Software|Social Media|Software|Web CMS",1
"Advertising Platforms|Software",1
"Internet Service Providers|Networking",1
"Biotechnology|Health and Wellness|Medical|Pharmaceuticals",1
"Health and Wellness|Information Technology|Pharmaceuticals",1
"CRM|Marketing Automation|Software",1
"B2B|Leisure|Travel & Tourism",1
"Internet|Software|Web Hosting",1
"Information Security|Software",1
"Enterprise Software|Information Services|Information Technology",1
"Audio|Information Technology|Media|Messaging|Video",1
Collectibles|Entertainment|Games|Toys,1
"Advertising|Business Development",1
"Messaging|Productivity Software|Task Management",1
"Email|Marketing Automation|Software",1
Fitness|Medical|Training,1
Consulting|Games|Motors,1
"Comparison Shopping|Coupons|E-Commerce|Outdoors",1
"Advertising|Mobile|Real Time",1
"Cloud Computing",1
"Curated Web|Entertainment|Facebook Applications|Gift Card|Private Social Networking|Social Commerce|Social Network Media",1
"Mobile|Mobile Social",1
"Software|Web Development",1
"Mobile Security|Security|Software",1
"Advertising|B2B|Consumer Internet|Internet|Marketplaces",1
