funding_rounds,avg_funding_amount,avg_time_between_rounds
2,12983218.608828485,21.52140000
1,6142660.68155473,0.00000000
4,30312901.415042486,44.34200000
3,22846369.7354087,27.64320000
9,59239843.083333336,13.25000000
5,46138851.768240735,90.28700000
6,76918379.02083333,38.53190000
8,218355974.82608697,8.69570000
7,96457997.73333333,33.38640000
10,293258855.875,23.75000000
11,56483730.666666664,173.33330000
12,60586207,-293.00000000
13,27517913,241.00000000
