funding_rounds,avg_funding_amount
2,12983218.608828485
1,6142660.68155473
4,30312901.415042486
3,22846369.7354087
9,59239843.083333336
5,46138851.768240735
6,76918379.02083333
8,218355974.82608697
7,96457997.73333333
10,293258855.875
11,56483730.666666664
12,60586207
13,27517913
